Nome da Notícia,Link da Matéria
"Clarissa OliveiraPara frear Centrão, Lula deve evitar até trocas pontuais na Esplanada, dizem fontes",https://www.cnnbrasil.com.br/blogs/clarissa-oliveira/politica/para-frear-centrao-lula-deve-evitar-ate-trocas-pontuais-na-esplanada-dizem-fontes/
"Larissa RodriguesAgro é maior que qualquer disputa política, diz novo presidente da Comissão de Agricultura",https://www.cnnbrasil.com.br/blogs/larissa-rodrigues/politica/o-agro-brasileiro-e-maior-que-qualquer-disputa-politica-afirma-novo-presidente-da-comissao-de-agricultura-da-camara/
"Débora BergamascoÀ CNN, Nikolas Ferreira fala em convocar ministro para Comissão de Educação",https://www.cnnbrasil.com.br/blogs/debora-bergamasco/politica/a-cnn-nikolas-ferreira-fala-em-convocar-ministro-para-comissao-de-educacao/
,https://www.cnnbrasil.com.br/politica/argentina-sem-desculpa-de-milei-lula-nao-tem-data-para-visitar-pais-vizinho/
"Sem desculpa de Javier Milei, Lula não tem data para visitar a Argentina",https://www.cnnbrasil.com.br/politica/argentina-sem-desculpa-de-milei-lula-nao-tem-data-para-visitar-pais-vizinho/
Planalto: Fala de Lula sobre oposição venezuelana não era para Corina,https://www.cnnbrasil.com.br/blogs/basilia-rodrigues/politica/apos-reacao-planalto-diz-que-fala-de-lula-sobre-choro-nao-era-para-corina/
Operação apura fraude em recuperação judicial de empresa de soja do Paraná,https://www.cnnbrasil.com.br/nacional/operacao-apura-fraude-em-recuperacao-judicial-de-empresa-de-soja-do-parana/
PRF troca tiros com milicianos ligados a Zinho no Rio; nove são presos,https://www.cnnbrasil.com.br/nacional/prf-troca-tiros-com-milicianos-em-rodovia-do-rio-de-janeiro/
,https://www.cnnbrasil.com.br/blogs/taina-falcao/politica/janja-reclama-que-esta-incomodada-mas-quando-lula-vai-ouvi-la/
Tainá Falcão,https://www.cnnbrasil.com.br/autor/taina-falcao/
"Janja reclama que está incomodada, mas quando Lula vai ouvi-la?",https://www.cnnbrasil.com.br/blogs/taina-falcao/politica/janja-reclama-que-esta-incomodada-mas-quando-lula-vai-ouvi-la/
Mãe e padrasto confessam ter matado menina de 3 anos em Santa Catarina,https://www.cnnbrasil.com.br/nacional/mae-e-padrasto-confessam-ter-matado-menina-de-3-anos-em-santa-catarina/
"“Não adianta querer unidade da base na PEC das Drogas”, diz Jaques Wagner",https://www.cnnbrasil.com.br/politica/nao-adianta-querer-unidade-da-base-na-pec-das-drogas-diz-jaques-wagner/
URIBE: Haddad tenta limitar renúncia fiscal do Perse a R$ 8 bilhões,https://www.cnnbrasil.com.br/blogs/gustavo-uribe/economia/haddad-tenta-limitar-renuncia-fiscal-do-perse-a-r-8-bilhoes/
,https://www.cnnbrasil.com.br/entretenimento/ex-malhacao-daniel-erthal-diz-ter-perdido-kombi-que-usava-para-vender-cerveja/
Ex-Malhação Daniel Erthal diz ter perdido Kombi que usava para vender cerveja,https://www.cnnbrasil.com.br/entretenimento/ex-malhacao-daniel-erthal-diz-ter-perdido-kombi-que-usava-para-vender-cerveja/
Saiba quais são os fatores que aumentam o risco de câncer conforme envelhecemos,https://www.cnnbrasil.com.br/saude/quais-sao-os-fatores-que-aumentam-o-risco-de-cancer-conforme-envelhecemos/
